local_id,x,y,z,rib_index,stringer_index,tag,h,global_id
797,31.6357177516464,18.1323048323686,0.01,-2,9,stringer,extrados,1
884,30.7592787611228,17.6271636565544,0.01,-2,10,stringer,extrados,2
968,29.8828397705992,17.1220224807403,0.01,-2,11,stringer,extrados,3
1050,29.0064007800756,16.6168813049261,0.01,-2,12,stringer,extrados,4
1129,28.129961789552,16.111740129112,0.01,-2,13,stringer,extrados,5
1205,27.2535227990283,15.6065989532978,0.01,-2,14,stringer,extrados,6
1278,26.3770838085047,15.1014577774836,0.01,-2,15,stringer,extrados,7
1349,25.5006448179811,14.5963166016695,0.01,-2,16,stringer,extrados,8
1417,24.6242058274575,14.0911754258553,0.01,-2,17,stringer,extrados,9
1483,23.7477668369339,13.5860342500412,0.01,-2,18,stringer,extrados,10
1546,22.8713278464103,13.080893074227,0.01,-2,19,stringer,extrados,11
1606,21.9948888558866,12.5757518984129,0.01,-2,20,stringer,extrados,12
1663,21.118449865363,12.0706107225987,0.01,-2,21,stringer,extrados,13
1717,20.2420108748394,11.5654695467845,0.01,-2,22,stringer,extrados,14
1770,19.3655718843158,11.0603283709704,0.01,-2,23,stringer,extrados,15
1820,18.4891328937922,10.5551871951562,0.01,-2,24,stringer,extrados,16
1867,17.6126939032685,10.0500460193421,0.01,-2,25,stringer,extrados,17
1911,16.7362549127449,9.54490484352792,0.01,-2,26,stringer,extrados,18
1952,15.8598159222213,9.03976366771376,0.01,-2,27,stringer,extrados,19
1990,14.9833769316977,8.53462249189961,0.01,-2,28,stringer,extrados,20
2025,14.1069379411741,8.02948131608545,0.01,-2,29,stringer,extrados,21
2058,13.2304989506505,7.5243401402713,0.01,-2,30,stringer,extrados,22
2088,12.3540599601268,7.01919896445714,0.01,-2,31,stringer,extrados,23
2115,11.4776209696032,6.51405778864298,0.01,-2,32,stringer,extrados,24
2139,10.6011819790796,6.00891661282883,0.01,-2,33,stringer,extrados,25
2160,9.72474298855598,5.50377543701467,0.01,-2,34,stringer,extrados,26
2178,8.84830399803236,4.99863426120052,0.01,-2,35,stringer,extrados,27
2193,7.97186500750874,4.49349308538636,0.01,-2,36,stringer,extrados,28
2206,7.09542601698513,3.98835190957221,0.01,-2,37,stringer,extrados,29
2216,6.2189870264615,3.48321073375805,0.01,-2,38,stringer,extrados,30
2223,5.34254803593789,2.97806955794389,0.01,-2,39,stringer,extrados,31
2227,4.46610904541427,2.47292838212974,0.01,-2,40,stringer,extrados,32
1,2.98,8.58428058428197,0.01,-1,1,stringer,extrados,33
89,2.98,8.41306116856395,0.01,-1,2,stringer,extrados,34
177,2.98,8.24184175284592,0.01,-1,3,stringer,extrados,35
265,2.98,8.07062233712789,0.01,-1,4,stringer,extrados,36
353,2.98,7.89940292140987,0.01,-1,5,stringer,extrados,37
441,2.98,7.72818350569184,0.01,-1,6,stringer,extrados,38
530,2.98,7.55696408997381,0.01,-1,7,stringer,extrados,39
619,2.98,7.38574467425578,0.01,-1,8,stringer,extrados,40
708,2.98,7.21452525853776,0.01,-1,9,stringer,extrados,41
798,2.98,7.04330584281973,0.01,-1,10,stringer,extrados,42
885,2.98,6.8720864271017,0.01,-1,11,stringer,extrados,43
969,2.98,6.70086701138368,0.01,-1,12,stringer,extrados,44
1051,2.98,6.52964759566565,0.01,-1,13,stringer,extrados,45
1130,2.98,6.35842817994762,0.01,-1,14,stringer,extrados,46
1206,2.98,6.18720876422959,0.01,-1,15,stringer,extrados,47
1279,2.98,6.01598934851157,0.01,-1,16,stringer,extrados,48
1350,2.98,5.84476993279354,0.01,-1,17,stringer,extrados,49
1418,2.98,5.67355051707551,0.01,-1,18,stringer,extrados,50
1484,2.98,5.50233110135749,0.01,-1,19,stringer,extrados,51
1547,2.98,5.33111168563946,0.01,-1,20,stringer,extrados,52
1607,2.98,5.15989226992143,0.01,-1,21,stringer,extrados,53
1664,2.98,4.9886728542034,0.01,-1,22,stringer,extrados,54
1718,2.98,4.81745343848538,0.01,-1,23,stringer,extrados,55
1771,2.98,4.64623402276735,0.01,-1,24,stringer,extrados,56
1821,2.98,4.47501460704932,0.01,-1,25,stringer,extrados,57
1868,2.98,4.3037951913313,0.01,-1,26,stringer,extrados,58
1912,2.98,4.13257577561327,0.01,-1,27,stringer,extrados,59
1953,2.98,3.96135635989524,0.01,-1,28,stringer,extrados,60
1991,2.98,3.79013694417721,0.01,-1,29,stringer,extrados,61
2026,2.98,3.61891752845919,0.01,-1,30,stringer,extrados,62
2059,2.98,3.44769811274116,0.01,-1,31,stringer,extrados,63
2089,2.98,3.27647869702313,0.01,-1,32,stringer,extrados,64
2116,2.98,3.10525928130511,0.01,-1,33,stringer,extrados,65
2140,2.98,2.93403986558708,0.01,-1,34,stringer,extrados,66
2161,2.98,2.76282044986905,0.01,-1,35,stringer,extrados,67
2179,2.98,2.59160103415102,0.01,-1,36,stringer,extrados,68
2194,2.98,2.420381618433,0.01,-1,37,stringer,extrados,69
2207,2.98,2.24916220271497,0.01,-1,38,stringer,extrados,70
2217,2.98,2.07794278699694,0.01,-1,39,stringer,extrados,71
2224,2.98,1.90672337127892,0.01,-1,40,stringer,extrados,72
1,2.98,4.82327796246619,0.01,1,-2,rear spars,extrados,73
1,3.98182376515712,2.19380748661546,0.01,1,-1,front spars,extrados,74
1719,2.98193783775272,4.81819175136302,0.01,1,23,stringer,extrados,75
1772,3.03890308484759,4.66867599759967,0.01,1,24,stringer,extrados,76
1822,3.09586833194246,4.51916024383633,0.01,1,25,stringer,extrados,77
1869,3.15283357903732,4.36964449007299,0.01,1,26,stringer,extrados,78
1913,3.20979882613219,4.22012873630964,0.01,1,27,stringer,extrados,79
1954,3.26676407322706,4.0706129825463,0.01,1,28,stringer,extrados,80
1992,3.32372932032193,3.92109722878296,0.01,1,29,stringer,extrados,81
2027,3.3806945674168,3.77158147501962,0.01,1,30,stringer,extrados,82
2060,3.43765981451167,3.62206572125627,0.01,1,31,stringer,extrados,83
2090,3.49462506160653,3.47254996749293,0.01,1,32,stringer,extrados,84
2117,3.5515903087014,3.32303421372959,0.01,1,33,stringer,extrados,85
2141,3.60855555579627,3.17351845996624,0.01,1,34,stringer,extrados,86
2162,3.66552080289114,3.0240027062029,0.01,1,35,stringer,extrados,87
2180,3.72248604998601,2.87448695243956,0.01,1,36,stringer,extrados,88
2195,3.77945129708088,2.72497119867622,0.01,1,37,stringer,extrados,89
2208,3.83641654417574,2.57545544491287,0.01,1,38,stringer,extrados,90
