name,MTOW,Superficie,flecha_radian,b,Lf,c1,c2
Airbus_A320,77000,122.6,0.3491,35.8,4.0,7.0,1.92
Airbus_A380,1300000,845,0.4363,79.75,12.3,14.3,4.6
Airbus_A320,73500,122,0.45,34.1,3.5,6.3,1.45
A350_XWB,280000,440,0.31,64.75,8.0,9.5,3.9
Boeing_737,79000,125,0.436,35.8,3.76,6.60,1.49
Boeing_747,333400,541,0.35,64.4,7.4,12.0,4.1
Boeing_737_800,79000,125,0.4363,35.8,3.76,6.60,1.49
Boeing_747_400,396890,541.2,0.4363,64.4,11.0,11.0,3.66
Cessna_172,1111,16.2,0,11.0,1.2,1.5,1.5
F_16_Fighting_Falcon,19187,27.87,0.6109,9.45,2.0,3.9,2.9
F_22_Raptor,38000,78.0,0.6981,13.56,2.9,5.0,2.0
Concorde,181440,358.25,1.2217,25.6,6.1,7.62,2.03
Gulfstream_G650,45000,99.0,0.3491,30.4,5.5,7.5,2.5
Embraer_E190,50790,92.5,0.3491,28.7,3.8,6.5,2.2
